ResponseID,Date_submitted,Last_page,Start_language,Seed,date_begun,date_lastaction,Are_you_a_stude.._,I_understand_th.._,I_understand_th.._,I_have_talked_t.._,focusgroup_participant,focusgroup_number,firsttime_completingsurvey,age,school_yesorno,gradeoryear,uni_program,goodatschool_important,adultwhocares_atschool,accepted_atschool,supportedatschool,safe_atschool,hwdsb_scale,pronouns,pronouns_dummy,brothers,numberofbrothers,sisters,numberofsisters,nosibs,sibs_comments,sibcount,postcode,postcode_povertycoded,postcode_covidcoded,white,southasian,chinese,black,filippino,latinx,arab,southeastasian,westasian,korean,japanese,other,politicalparty,politicalparty_other,green_veg,carrots_etc,other_veg,citrusandberries,other_fruits,fullfat_dairy,lowfat_dairy,eggs,nutslegumesandpulses,fishandseafood,processedmeats,other_meat,refined_grains,whole_grains,sweet_bakedgoods,fastfoods,ssbs,juiceandsmoothies,dietq_scale,foodsec1_percep,foodsec2_exp,dietary_restrictions,dietaryrestrictions_comments,worried,sad,pain,tired,annoyed,problemswschoolwork,problemswsleep,problemswdailyroutine,canjoinactivities,chudbehav_scale,chudfeelings_scale,chudbehavs_scale,chudfull_scale,precovid_cantril,covid_cantrill,cantrill_changewcovid,optimistic,useful,relaxed,dealingwproblemswell,thinkingclearly,feelingclosetoppl,decisive,edinborough_scale,bedtime_lastnight,bedtime_lastnight_numeric,bedtime_lastnight_simplified,coded_bedtimelastnight,wakeuptime_thisAM,wakeuptime_thismorn_numeric,wakeuptime_thisAM_simplified,lastnight_hoursslept,usualschoolbedtime,usualschoolbedtime_simple,usualweekendbedtime,usualweekendbedtime_simplified,usualweekendwakeuptime_simplified,usualweekendwakeuptime,usualweekend_hoursslept,usualsleepdisruptions,usualsleepdisruptions2,sleepscale,overallsleepchanges_covid,overallsleepqualchange_covidcoded,activity_yesterday_mins,activityyesterday_coded,walkruncycle,skate,sportsandgym,danceandmartialarts,domesticlabour,overallphysactivitychange_covid,overallphysactivitychangecovid_coded,personalcare_dailyroutine_mins,personalcarechange_covid,personalcarechange_covid,handwashing,handwashing_coded,handwashingchange_covid,vidwatching_freq,socialmed_freq,singleplayergames_freq,multiplayergames_freq,screensasdistractionchange_covid,paidjob_freq,volunteering_freq,leadershipandactivism_freq,heavyschoolwork_freq,books,magazines,audiobooksandpodcasts,friendsinperson,friendsonline,talktofamily_inhouse,talktofamily_outofhousehold,cook_bake,nature,art,creativewriting,playmusic,hobbies,gamesandpuzzles,anythingelseabouttimeuse,anythingunusualaboutthelastfewweeks,What_else_would.._,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,28-Jan-21,7,en,1887093267,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,,,Yes,15,"YES, I go to school",10,,4,4,4,3,3,18,,,1,1,0,,0,,1,L8K,L8K,L8K,1,0,0,0,0,0,0,0,0,0,0,,LIB,The Liberals are horrible and need to be voted out. ,1,1,0,4,4,3,3,4,2,0,-3,4,2,4,-1,-3,-4,4,25,2,0,,,3,3,3,3,5,5,3,4,5,,17,17,34,9,3,-6,3,3,3,3,3,2,3,20,Later than 1:30 AM,2:00:00,2,6,Between 10 AM and 11 AM,10:30:00,10.5,8.5,Later than 1:30AM,2,Later than 1:30AM,2,Between 10AM and 11AM,10.5,8.5,6,5,17,A lot more.,2,Fewer than 15,0,Once every few weeks.,Once every few weeks.,Once every few weeks.,Once every few weeks.,A few times a week.,A lot less.,-2,Fewer than 15,A lot less.,-2,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,More than once a day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,More than once a day.,More than once a day.,A lot more.,3,,0,Once every few weeks.,1,0,0,0,1,4,1,1,1,0,0,1,0,0,"I spend my day on social media, I miss bike riding, socialize and sports with my friend. I eat less, sleep way more and have no motivations. 
I was doing really good at the start of my online schooling but now I hate it. I am not being graded fairly some work is to hard to understand without the one on one with a teacher. And half the time the programs or internet doesn't work. I used to like going to school. Now I have anxiety even thinking about being around large groups of kids again. This sucks, my health got worse, I'm not active and I now have anxiety that I never used to have. ????",,I used to go out with friends before the lock down. Now I dont even talk to friends or care to go out. I have no motivations. Wish life was the way it was before. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,28-Jan-21,7,en,26320801,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,16,"YES, I go to school",10,,4,2,3,3,3,15,He/him,1,0,,0,,1,,0,L9C,L9C,L9C,0,0,1,0,0,0,0,0,0,0,0,,DontKnow,,2,2,1,3,3,2,3,3,1,1,-2,4,0,0,0,0,-2,4,25,0,0,0,,2,1,1,2,1,2,2,1,4,,7,9,16,7,6,-1,,4,4,4,3,2,3,20,Between 10 PM and 11:30 PM,22:45:00,-1.25,3,Between 7 AM and 8 AM,7:30:00,7.5,8.75,Between 9PM and 10PM,-2.5,Between 10PM and 11:30PM,-1.25,Between 8AM and 9AM,8.5,9.75,1,3,7,A little more.,1,Fewer than 15,0,Never.,Never.,A few times a week.,About once a week.,Every day or almost every day.,About the same.,0,Fewer than 15,A little bit more.,1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A little bit more.,Every day or almost every day.,A few times a day.,Never.,Every day or almost every day.,About the same.,0,0,0,Most weeks.,2,0,0,0,4,5,4,3,1,0,0,0,0,4,,,It is important to end this asap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,1,en,1342545909,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,14,"YES, I go to school",9,,2,3,2,2,1,10,,,1,,0,,0,,1,,,,0,0,0,0,0,0,0,0,0,0,0,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81,,,,,,,,,,,,,,,,,278.74,,,,,,,,,,,,,,,,,,,,,,85.01,,,,,,,,,,87.8,,,,500.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.63
157,28-Jan-21,7,en,11800988,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,16,"YES, I go to school",10,,4,3,4,3,2,16,He/him,1,0,,1,1,0,,1,L8P,L8P,L8P,0,0,1,0,0,0,0,0,0,1,0,,PNS,,1,2,2,1,2,2,2,3,1,1,-1,4,0,1,0,0,-1,0,20,1,1,0,,3,1,1,4,1,3,1,1,3,,10,8,18,10,5,-5,4,3,4,3,4,4,4,26,Between 10 PM and 11:30 PM,22:45:00,-1.25,3,Between 7 AM and 8 AM,7:30:00,7.5,8.75,Between 10PM and 11:30PM,-1.25,Between 10PM and 11:30PM,-1.25,Between 7AM and 8AM,7.5,8.75,1,2,6,A little more.,1,15-30,1,A few times a week.,Never.,Once every few weeks.,Once every few weeks.,Once every few weeks.,About the same.,0,15-30,A little bit more.,1,3-5 times per day.,1,A little bit more.,Every day or almost every day.,A few times a day.,Every day or almost every day.,Never.,A lot less.,0,3,0,Most weeks.,3,2,0,0,4,5,2,2,3,0,0,3,1,0,I can't improve my English.  I can't meet my friends.,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,28-Jan-21,7,en,2060837874,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,14,"YES, I go to school",9,,4,1,1,1,1,8,She/her,0,0,,1,1,0,,1,L8E,L8E,L8E,1,0,0,0,0,0,0,0,0,0,0,,DontKnow,,0,0,0,1,1,3,0,0,0,0,-3,4,0,0,-3,-3,-3,3,,0,0,0,,3,2,1,3,2,1,2,2,1,,11,6,17,6,6,0,3,3,3,3,3,3,3,21,Later than 1:30 AM,2:00:00,2,6,Later than noon,13:00:00,13,11,Between 11:30PM and 12:30AM,0,Later than 1:30AM,2,Later than noon,13,11,3,4,13,A little more.,1,Fewer than 15,0,Never.,Never.,Never.,Never.,Never.,A lot less.,-2,Fewer than 15,A lot less.,-2,Fewer than 3 times per day.,0,A lot more.,More than once a day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,More than once a day.,More than once a day.,A lot more.,0,0,0,Every week.,0,0,0,2,5,5,2,2,0,0,0,4,0,0,I used to go to kickboxing and yoga 4 times a week before covid ,Not allowed to see anyone. We are in a stay at home order ,"Lost out on a lot and had no grade 8 graduation or trips   Haven't been able to make any friends in grade 9. Wearing a mask and only going 2 times a week for one class. 
A lot of self independence is expected with grade 9 online compared to grade 8. The grade 8 teachers helped out a lot more. We are alone in grade 9. & Hours of homework. And all our fun is gone in our lives. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,28-Jan-21,7,en,1370371564,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,15,"YES, I go to school",10,,4,3,2,2,2,13,,,1,3,0,,0,,1,L9C,L9C,L9C,1,0,0,0,0,0,0,0,0,0,0,,DontKnow,,0,1,3,2,2,4,0,4,2,0,-2,1,2,1,-1,-1,-2,3,19,0,0,,,3,3,2,4,3,3,3,3,4,,15,13,28,6,5,-1,2,2,3,3,3,3,4,20,Later than 1:30 AM,2:00:00,2,6,Later than noon,13:00:00,13,11,Later than 1:30AM,2,Later than 1:30AM,2,Between 11AM and noon,11.5,9.5,2,4,12,A little less.,-1,15-30,1,A few times a week.,A few times a week.,A few times a week.,Never.,A few times a week.,A little bit less.,-1,15-30,A little bit less.,-1,3-5 times per day.,1,A little bit more.,More than once a day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,Once every few weeks.,More than once a day.,A little bit more.,0,0,0,Every week.,0,0,1,0,5,4,2,0,3,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,28-Jan-21,7,en,1899669018,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,15,"YES, I go to school",10,,3,4,2,2,2,13,She/her,0,0,,0,,1,Only child ,0,L0R,L0R,L0R,1,0,0,0,0,0,0,0,0,0,0,,,,2,1,2,3,3,3,3,4,0,0,-1,2,2,1,0,-1,-1,4,27,0,0,0,,2,4,1,4,4,1,3,2,4,,15,10,25,6,4,-2,2,1,3,3,3,2,4,18,Between 12:30 AM and 1:30 AM,1:00:00,1,5,Between 9 AM and 10 AM,9:30:00,9.5,8.5,Between 10PM and 11:30PM,-1.25,Between 12:30AM and 1:30AM,1,Between 9AM and 10AM,9.5,8.5,4,4,13,A little less.,-1,Fewer than 15,0,Never.,Never.,Never.,Once every few weeks.,A few times a week.,A little bit more.,1,30-60,About the same.,0,3-5 times per day.,1,About the same.,More than once a day.,At least once an hour.,Never.,Never.,A lot more.,0,0,0,Once every few weeks.,1,0,0,2,3,4,1,4,1,0,0,5,0,1,I usually stay in bed most of the days because there is nothing to do. I normally end up doing the same thing everyday and that is draining. ,No it's just been getting more and more boring everyday all alone since my parents are at work. ,I've become a lot more stressed and anxious throughout this time. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,28-Jan-21,7,en,878521854,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,14,"YES, I go to school",9,,4,2,3,4,4,17,She/her,0,1,2,1,1,0,,2,L9B,L9B,L9B,1,0,0,0,0,0,0,0,0,0,0,,DontKnow,,2,2,2,0,0,2,0,0,0,0,-1,3,2,0,-1,0,0,4,15,1,0,0,,2,1,1,3,2,2,2,1,5,,9,10,19,8,5,-3,3,2,3,2,3,2,3,18,Later than 1:30 AM,2:00:00,2,6,Between 10 AM and 11 AM,10:30:00,10.5,8.5,Between 10PM and 11:30PM,-1.25,Between 12:30AM and 1:30AM,1,Between 10AM and 11AM,10.5,9.5,1,4,11,A little more.,1,30-60,2,A few times a week.,Once every few weeks.,About once a week.,Never.,Every day or almost every day.,A lot less.,-2,15-30,A lot more.,2,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A little bit more.,Every day or almost every day.,A few times a day.,Once every few weeks.,About once a week.,A little bit more.,0,0,0,Once every few weeks.,4,0,0,1,2,5,2,1,2,0,0,3,0,1,,My aunts birthday passed recently and normally we all get together and celebrate but that didn't happen this year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,28-Jan-21,7,en,1610617271,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,18,"YES, I go to school",12,,4,2,4,3,4,17,She/her,0,0,,1,3,0,,1,L9H,L9H,L9H,1,0,0,0,0,0,0,0,0,0,0,,DisagreewAll,"I don_验t mind sharing my political views, but I believe that there is pros and cons with all parties, and would need to do some more research before I chose one specifically",3,2,3,3,3,3,3,2,1,0,-1,3,2,2,-1,-1,-2,3,28,1,1,0,,3,2,1,3,2,3,1,2,5,,11,11,22,7,5,-2,3,2,2,1,2,2,4,16,Between 11:30 PM and 12:30 AM,0:00:00,0,4,Between 10 AM and 11 AM,10:30:00,10.5,10.5,Between 9PM and 10PM,-2.5,Between 10PM and 11:30PM,-1.25,Between 7AM and 8AM,7.5,8.75,3,4,11,A lot more.,2,Fewer than 15,0,About once a week.,Once every few weeks.,Once every few weeks.,Once every few weeks.,A few times a week.,A little bit less.,-1,30-60,A little bit more.,1,More than 10 times per day.,4,A lot more.,A few times a week.,At least once an hour.,Never.,Never.,A little bit more.,2,1,0,Most weeks.,2,0,1,1,2,4,2,3,3,0,0,5,4,1,,,,,,,,,,,,128.25,,,,,,,,,,,,,,,,,209.9,,,,,,,,,,,,,,,,,,,,,,44.57,,,,,,,,,,83.2,,,,412.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5
164,28-Jan-21,7,en,1674230366,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,14,"YES, I go to school",9,,4,3,4,4,4,19,She/her,0,0,,0,,1,,0,L8G,L8G,L8G,1,0,0,0,0,0,0,0,0,0,0,,DontKnow,,3,2,2,3,3,3,1,2,0,1,-3,4,2,0,-3,-1,-2,4,,0,0,0,,1,1,1,1,1,1,1,1,3,,5,6,11,10,9,-1,4,4,4,5,4,4,4,29,Between 11:30 PM and 12:30 AM,0:00:00,0,4,Between 9 AM and 10 AM,9:30:00,9.5,9.5,Between 10PM and 11:30PM,-1.25,Between 12:30AM and 1:30AM,1,Between 9AM and 10AM,9.5,8.5,5,,,About the same.,0,30-60,2,A few times a week.,Never.,Never.,Never.,A few times a week.,About the same.,0,15-30,A little bit more.,1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A little bit more.,A few times a week.,A few times a day.,Never.,Never.,About the same.,0,0,0,Most weeks.,3,0,0,0,4,5,4,3,4,3,2,5,3,0,No answer,No answer ,No answer,,,,,,,,,305.07,,,,,,,,,,,,,,,,,355.92,,,,,,,,,,,,,,,,,,,,,,177.09,,,,,,,,,,310.54,,,,1148.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.81
165,28-Jan-21,7,en,739313367,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,16,,,,,,,,,,She/her,0,1,1,0,,0,,1,L9H,L9H,L9H,1,0,0,0,0,0,0,0,0,0,0,,NDP,,3,3,3,4,4,1,4,4,3,1,-2,4,2,3,0,0,0,1,38,0,1,1,,5,4,3,5,5,3,3,3,4,,22,13,35,7,5,-2,2,1,2,3,2,1,3,14,Later than 1:30 AM,2:00:00,2,6,Between 8 AM and 9 AM,8:30:00,8.5,6.5,Later than 1:30AM,2,Later than 1:30AM,2,Later than noon,13,11,6,5,17,A lot less.,-2,30-60,2,A few times a week.,About once a week.,A few times a week.,A few times a week.,Every day or almost every day.,A little bit less.,-1,15-30,About the same.,0,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,More than once a day.,At least once an hour.,,About once a week.,A lot more.,0,2,1,Every week.,2,0,4,1,5,5,3,1,3,5,2,4,4,1,,,,,,,,,,,,152.8,,,,,,,,,,,,,,,,,325.1,,,,,,,,,,,,,,,,,,,,,,72.33,,,,,,,,,,92.89,,,,1459.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.63
167,28-Jan-21,7,en,1152093561,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,15,"YES, I go to school",10,,3,2,3,3,3,14,He/him,1,1,1,0,,0,,1,L9G,L9G,L9G,1,1,0,0,0,0,0,0,0,0,0,,DisagreewAll,,2,2,1,3,1,3,2,2,0,0,-1,3,1,3,0,0,0,2,24,0,0,0,,4,3,2,5,2,1,3,1,4,,16,9,25,7,4,-3,3,2,2,3,3,2,2,17,Between 12:30 AM and 1:30 AM,1:00:00,1,5,,,,,Between 9PM and 10PM,-2.5,Later than 1:30AM,2,Between 11AM and noon,11.5,9.5,3,4,12,A little more.,1,15-30,1,Once every few weeks.,Once every few weeks.,Never.,Once every few weeks.,Every day or almost every day.,A lot less.,-2,15-30,A little bit less.,-1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,Every day or almost every day.,At least once an hour.,A few times a week.,Every day or almost every day.,A lot more.,0,0,0,Most weeks.,1,0,0,0,4,5,3,3,3,0,0,2,2,3,,,I think a pet would be great for a lockdown. It's a lot harder to do school when you're not in person especially in a class where you do the homework in class and the lessons out of class it just feels like you have double the homework. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,28-Jan-21,7,en,1366479068,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,16,"YES, I go to school",11,,4,2,2,3,1,12,NB,0,1,1,0,,0,,1,L9G,L9G,L9G,1,0,0,0,0,0,0,0,0,0,0,Satanist (personal),GREEN,,3,2,3,2,3,2,3,0,2,1,0,4,2,2,0,0,0,3,32,2,0,1,sensitivities to dairy and sesame oil,2,1,2,4,1,1,3,4,5,,10,13,23,3,6,3,3,3,2,4,3,1,4,20,Between 12:30 AM and 1:30 AM,1:00:00,1,5,Between 8 AM and 9 AM,8:30:00,8.5,7.5,Between 10PM and 11:30PM,-1.25,Between 11:30PM and 12:30AM,0,Between 8AM and 9AM,8.5,8.5,4,5,14,A little less.,-1,Fewer than 15,0,Never.,Never.,Never.,Never.,Every day or almost every day.,A lot less.,-2,Fewer than 15,A little bit more.,1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,More than once a day.,At least once an hour.,Every day or almost every day.,Every day or almost every day.,A lot more.,0,0,0,Most weeks.,3,0,4,0,1,5,1,4,1,4,4,1,1,0,,,My animals have become a lot more of a main focus for me to take care of and pay attention to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,28-Jan-21,7,en,343634950,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,,,Yes,16,"YES, I go to school",11,,3,2,3,2,2,12,She/her,0,1,1,1,5,0,,2,L8L,L8L,L8L,0,0,0,0,0,0,0,1,0,0,0,Karen,DisagreewAll,,2,1,0,0,0,0,0,4,0,2,0,2,0,0,0,-1,-1,0,9,1,0,0,,4,3,3,4,2,5,4,4,5,,16,18,34,6,5,-1,3,1,2,1,1,3,1,12,Later than 1:30 AM,2:00:00,2,6,Between 11 AM and noon,11:30:00,11.5,9.5,Between 12:30AM and 1:30AM,1,Later than 1:30AM,2,Later than noon,13,11,2,4,12,A little more.,1,,,Never.,Never.,,Never.,Once every few weeks.,A lot less.,-2,Fewer than 15,A lot less.,-2,3-5 times per day.,1,A little bit more.,A few times a week.,A few times a day.,Once every few weeks.,A few times a week.,A lot more.,1,0,0,Never.,0,0,0,,3,4,1,1,1,1,0,4,0,0,,,Motivation has gone down the drain and can't pay attention to class through a screen but I know have no choice but to pull through it. Although it's really brought my marks down. My anxiety has also gone up and my relationship with my sisters are deteriorating. Everyone is annoyed being stuck with eachother ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,2,en,720953725,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,15,"YES, I go to school",10,,3,2,3,2,3,13,He/him,1,1,1,1,1,0,,2,L0R,L0R,L0R,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,28-Jan-21,7,en,1565052500,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,15,"YES, I go to school",9,,3,2,3,2,4,14,NB,0,0,,0,,1,,0,L8W,L8W,L8W,1,0,0,0,0,0,0,0,0,0,0,,,,2,1,1,3,1,3,3,2,0,0,-1,4,1,0,-2,-1,-3,2,16,0,0,0,,2,3,2,3,3,2,3,3,2,,13,10,23,7,6,-1,2,3,3,3,3,3,3,20,Between 12:30 AM and 1:30 AM,1:00:00,1,5,Between 8 AM and 9 AM,8:30:00,8.5,7.5,Between 11:30PM and 12:30AM,0,Between 12:30AM and 1:30AM,1,Between 9AM and 10AM,9.5,8.5,1,3,9,A lot less.,-2,30-60,2,About once a week.,Never.,Never.,Every day or almost every day.,A few times a week.,About the same.,0,15-30,A little bit less.,-1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A little bit more.,Every day or almost every day.,At least once an hour.,Every day or almost every day.,About once a week.,A little bit more.,0,0,0,Once every few weeks.,1,0,1,1,4,5,2,1,1,2,1,5,1,1,I find that I'm dancing a lot more and playing more video games,My grandfather had surgery on his foot because of an injury he endured back in June,"I've gotten to know a lot more about my family that I didn't know about before, and I was able to pay more attention to my cat Ozzy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,28-Jan-21,7,en,885152853,28-Jan-21,28-Jan-21,"YES, I am a student at the HWDSB AND my parent or guardian sent me an invitation to participate in this survey.","YES, I agree to participate and I'm allowed to participate.",,,"NO, I am not part of a focus group - I'm just doing the survey part of the study",,Yes,17,"YES, I go to school",12,,3,4,3,4,3,17,She/her,0,1,1,0,,0,,1,L8B,L8B,L8B,1,0,0,0,0,0,0,0,0,0,0,,DontKnow,,2,3,3,1,1,3,3,0,4,1,-2,4,1,3,-2,-1,0,2,26,0,0,0,,3,2,2,4,3,3,3,4,3,,14,13,27,7,5,-2,3,2,3,3,3,2,3,19,Later than 1:30 AM,2:00:00,2,6,Later than noon,13:00:00,13,11,Between 11:30PM and 12:30AM,0,Later than 1:30AM,2,Between 11AM and noon,11.5,9.5,1,5,12,A little more.,1,,,Once every few weeks.,Never.,Never.,Once every few weeks.,About once a week.,A little bit more.,1,60-90,A little bit more.,1,"It really depends on whether I am at home all day or out for work/ school/ socializing. Frankly, this question is kind of hard to answer.",3,A lot more.,More than once a day.,More than once an hour- I've already done this at least 3 times while filling out this survey.,,,A lot more.,3,0,1,,3,0,1,0,3,5,2,1,1,0,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
